,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tisue_Area,Num Detections,Num Negatie,Num Positive,Positive %,Num Positive per mm^2,Area ?m^2,Perimeter ?m
86,Td75_3D_MCAO_Str.tif,77b7aa8d-e4e7-49a8-a38c-410b517cfce4,Positive,Positive,Image,Geometry,3298.8,3139.6,19975004,281,192,89,31.67,4.456,19975003.1,36494.4
87,Td76_3D_MCAO_Str.tif,b03ae0b5-9470-46c4-91c2-a984dd2ac0c6,Ignore*,Ignore*,Image,Geometry,879.98,2887.9,0,1,0,1,100,0.1615,6193432.9,38470.2
88,Td76_3D_MCAO_Str.tif,ec8f4e67-4d13-44d7-b982-df6d09924001,Positive,Positive,Image,Geometry,2249.9,3188.2,17293658,900,304,596,66.22,34.46,17293658.7,32659
89,Td77_3D_MCAO_Str.tif,299f825b-0915-402f-ae08-4e98db8d61fc,Ignore*,Ignore*,Image,Geometry,1401.4,3063.2,0,15,8,7,46.67,0.6169,11346747.3,104717.9
90,Td77_3D_MCAO_Str.tif,3e9bfc90-e94a-4730-960d-8b3914979c8e,Positive,Positive,Image,Geometry,2991.6,3137.4,18283122,705,219,486,68.94,26.58,18283122.1,100068.9
91,Td78_3D_MCAO_Str.tif,a654e014-af75-44a0-ba66-8920f887fc6b,Ignore*,Ignore*,Image,Geometry,1247,3069.1,0,2,1,1,50,0.0918,10887474.2,45676.1
92,Td78_3D_MCAO_Str.tif,9921a36f-b94c-4d9d-9eba-7789007e09ac,Positive,Positive,Image,Geometry,3173.9,3130.5,20187754,1511,537,974,64.46,48.25,20187754.6,31380.5
93,Td79_3D_MCAO_Str.tif,d3e1b520-eae8-449a-b54f-f9e9c0bccef5,Ignore*,Ignore*,Image,Geometry,999.08,3357.6,0,1,NA,1,100,0.1534,6521002.7,57647.1
94,Td79_3D_MCAO_Str.tif,a5955865-6988-4711-b00e-3d73c0164185,Positive,Positive,Image,Geometry,1822.1,3894.3,17438870,398,NA,398,100,22.82,17438870,51952.2
95,Td80_7D_SHAM_Str.tif,76fad475-2503-4bfb-a52d-cd4068c8bb7b,Positive,Positive,Image,Geometry,1855.9,2969.2,14592052,1219,778,441,36.18,30.22,14592052.2,25453.1
96,Td80_7D_SHAM_Str.tif,832fb2ae-9940-4595-a561-8f41316d8239,Ignore*,Ignore*,Image,Geometry,885.87,3495.2,0,2,2,0,0,0,5281640.7,29520.9
97,Td81_7D_SHAM_Str.tif,55aa15e5-414a-4e03-bd69-8dcb6f28e7cf,Ignore*,Ignore*,Image,Geometry,927.34,3004.4,0,6,3,3,50,0.4681,6409561.4,31961.6
98,Td81_7D_SHAM_Str.tif,109371b5-54b6-4e4e-b79e-65931b786073,Positive,Positive,Image,Geometry,1882.9,3160.2,13102792,642,483,159,24.77,12.13,13102791.6,24755.7
